,T [K],G [J/mol],S [J/mol/K],Cp [J/mol/K]
89,226.70250896057345,-102517686.42377655,112.67404898256063,107.37380468279909
90,229.19354838709677,-102517968.5859667,113.84988732635975,107.41257611097937
91,231.68458781362006,-102518253.63289262,115.00892240181565,108.0053425658521
92,234.17562724014334,-102518541.56948692,116.17240320146084,109.23280378473939
93,236.66666666666666,-102518832.41296592,117.33284674957395,109.68554988144335
94,239.15770609318994,-102519126.13098146,118.4813978150487,110.4429957841476
95,241.64874551971326,-102519422.69663244,119.63357007876039,111.1720068462245
96,244.13978494623655,-102519722.15486106,120.77343414723873,110.84141232510173
97,246.63082437275983,-102520024.39940472,121.89547367021441,111.7280970592347
98,249.12186379928315,-102520329.44772273,123.03040340915322,113.64448306481626
99,251.61290322580643,-102520637.34657583,124.16819982603192,113.461032397776
100,254.10394265232975,-102520948.06348531,125.27699650079012,112.81221559624984
101,256.59498207885304,-102521261.48645088,126.38004804775119,114.73320483558366
102,259.0860215053763,-102521577.69885013,127.50467012450099,115.84463205240858
103,261.5770609318996,-102521896.72477157,128.60767533630133,115.73869513784574
104,264.06810035842295,-102522218.43242976,129.7090656608343,116.00719503964483
105,266.55913978494624,-102522542.94556466,130.796341791749,116.26475383987271
106,269.0501792114695,-102522870.07011826,131.8820925243199,117.77658719956763
107,271.5412186379928,-102523199.99254891,132.977244425565,117.4680406494114
108,274.0322580645161,-102523532.57323565,134.03732716664672,118.49371430379762
109,276.5232974910394,-102523867.7770821,135.1315346993506,120.24906805923968
110,279.01433691756273,-102524205.80919704,136.20383662357926,118.95051211371849
111,281.505376344086,-102524546.35533623,137.2555145546794,119.6996829058423
112,283.9964157706093,-102524889.62699357,138.32228020951152,120.92205127126375
113,286.4874551971326,-102525235.48784336,139.37682018056512,122.05734841852585
114,288.9784946236559,-102525584.01330198,140.44488391652703,122.58031293783259
115,291.4695340501792,-102525935.19532955,141.49014278501272,122.0217768696784
116,293.9605734767025,-102526288.92835027,142.53059800714254,122.48793190979109
117,296.4516129032258,-102526645.2940078,143.56608286127448,123.5001106343149
118,298.9426523297491,-102527004.18589571,144.6061046421528,124.71347602148661
119,301.43369175627237,-102527365.73302375,145.64451618865132,125.15079026010099
120,303.92473118279565,-102527729.79835987,146.67458976060152,125.22638633213246
121,306.415770609319,-102528096.47739567,147.69728671759367,124.93640851840367
122,308.9068100358423,-102528465.63788867,148.70595726370811,126.34426542384965
123,311.39784946236557,-102528837.34220067,149.73497922718525,128.16671165845426
124,313.88888888888886,-102529211.62936224,150.7565066330135,126.7118827715901
125,316.37992831541214,-102529588.42300433,151.74616412073374,126.61442551255256
126,318.8709677419355,-102529967.64071754,152.75032164901495,129.89389767582065
127,321.3620071684588,-102530349.43715161,153.77564220502973,130.24440110051478
128,323.85304659498206,-102530733.76309268,154.76950208097696,128.0523196297476
129,326.34408602150535,-102531120.51101503,155.7455688752234,129.52892452853692
130,328.83512544802863,-102531509.69979782,156.74693431705236,132.07996392589004
131,331.326164874552,-102531901.43660177,157.7466713860631,131.75583742494544
132,333.81720430107526,-102532295.60615346,158.72811793908477,131.32177495770227
133,336.30824372759855,-102532692.23260154,159.7065926529467,131.23742796022407
134,338.79928315412184,-102533091.27699141,160.67227252572775,132.02512103380727
135,341.2903225806451,-102533492.71453276,161.6480358503759,133.32516820053195
136,343.78136200716847,-102533896.62025246,162.61852314323187,133.55312738856674
137,346.27240143369175,-102534302.89283802,163.58348752185702,135.31409237734852
138,348.76344086021504,-102534711.60608634,164.56538773700595,135.15507058249977
139,351.2544802867383,-102535122.7705762,165.51417503133416,134.84277660362204
140,353.7455197132616,-102535536.21075764,166.47795365005732,137.338125610845
141,356.2365591397849,-102535952.17686859,167.44841683283448,136.60210636099873
142,358.72759856630825,-102536370.45197411,168.3883765079081,135.97491271209367
143,361.21863799283153,-102536791.10103828,169.33686294034123,136.86362138985717
144,363.7096774193548,-102537214.10157801,170.27605693787336,137.05075362087592
145,366.2007168458781,-102537639.42978074,171.21417801827192,138.04300583869562
146,368.6917562724014,-102538067.10411365,172.1541011594236,138.19983853568442
147,371.18279569892474,-102538497.11508758,173.08165262639523,140.14469730285833
148,373.673835125448,-102538929.41055506,174.03514721244574,141.76721585532556
149,376.1648745519713,-102539364.17191419,174.97179151698947,138.81901440204027
150,378.6559139784946,-102539801.13381746,175.87372205778956,140.09602762663636
151,381.1469534050179,-102540240.38866566,176.81507305800915,142.57121274958152
152,383.63799283154117,-102540682.04045385,177.7373104132712,141.45439286560764
153,386.1290322580645,-102541125.88996126,178.65205727890134,142.64038576110823
154,388.6200716845878,-102541572.09909047,179.57774609699845,142.23152987431158
155,391.1111111111111,-102542020.56045257,180.4754543416202,141.3381669581372
156,393.6021505376344,-102542471.24203503,181.37814980000257,143.68397987489175
157,396.09318996415766,-102542924.2006971,182.2941560856998,146.74871940522044
158,398.584229390681,-102543379.44589509,183.2239621244371,145.93732482005777
159,401.0752688172043,-102543837.03692417,184.1182906255126,142.60846733859498
160,403.5663082437276,-102544296.73773727,184.99541672319174,146.00345178075997
161,406.05734767025086,-102544758.69867775,185.92072233185172,146.77869350050355
162,408.54838709677415,-102545223.00943635,186.79630280286074,145.12234549444187
163,411.0394265232975,-102545689.33258778,187.69042940065265,147.0549571261109
164,413.5304659498208,-102546158.09795558,188.57870941609144,148.20613176561892
165,416.02150537634407,-102546628.8465881,189.47596806287766,150.49341859864225
166,418.51254480286735,-102547102.08216923,190.38094816729426,142.36033986409663
167,421.00358422939064,-102547577.33948399,191.1706614419818,147.1588515859584
168,423.494623655914,-102548054.50947893,192.12239890545607,158.43767539343222
169,425.98566308243727,-102548534.50842477,193.03455521538854,147.6786176260002
170,428.47670250896056,-102549016.22285436,193.849561534822,145.10673376399257
171,430.96774193548384,-102549500.28222597,194.72177224606276,153.19221223472786
172,433.45878136200713,-102549986.3420781,195.62049612402916,153.55935988721333
173,435.9498207885304,-102550474.87896293,196.48674938455224,149.632502655113
174,438.44086021505376,-102550965.25455713,197.3305115699768,152.0718242157015
175,440.93189964157705,-102551457.99513169,198.21476766094565,150.3710365353325
176,443.42293906810033,-102551952.77615945,199.0295502692461,148.96159547647915
177,445.9139784946236,-102552449.5760452,199.88842580839992,155.83264388859618
178,448.4050179211469,-102552948.63605864,200.7706271521747,159.85421721266
179,450.89605734767025,-102553449.83114105,201.66451279073954,157.22176627021497
180,453.38709677419354,-102553953.34456322,202.5078151896596,148.44164058368878
181,455.8781362007168,-102554458.74104469,203.29567513242364,151.6988830461896
182,458.3691756272401,-102554966.1796472,204.16566130518913,161.16343856153034
183,460.8602150537634,-102555475.9104684,205.04738314822316,158.86987077782356
184,463.3512544802867,-102555987.74187866,205.8831066340208,151.43641810381607
185,465.84229390681,-102556501.63634017,206.67566874995828,153.4149491009756
186,468.3333333333333,-102557017.41635737,207.5238451063633,159.1091298104119
187,470.8243727598566,-102557535.53650038,208.3682542964816,156.48318462878032
188,473.3154121863799,-102558055.52343073,209.17968879267573,158.9263666115654
189,475.8064516129032,-102558577.6862044,210.04110007733107,162.64289359850167
190,478.2974910394265,-102559101.96475369,210.88269159570336,158.5142177981079
191,480.7885304659498,-102559628.32040267,211.69222797825933,156.47473903220038
192,483.2795698924731,-102560156.63212605,212.5041310414672,161.34668442020094
193,485.7706093189964,-102560687.0327401,213.3555341772735,161.90304719536414
194,488.26164874551966,-102561219.58622105,214.16461385414004,158.084858487619
195,490.752688172043,-102561754.01773386,214.9685857705772,161.30773559748613
196,493.2437275985663,-102562290.57666628,215.80219603702426,161.70332709296332
197,495.7347670250896,-102562829.16129118,216.60189336538315,159.1889993349527
198,498.22580645161287,-102563369.70437874,217.40202764049172,163.93125003311005
199,500.71684587813616,-102563912.2753357,218.24114689975977,162.48305209356113
200,503.2078853046595,-102564456.99898158,219.01871656253934,160.71652542881338
201,505.6989247311828,-102565003.4438519,219.83234295621514,171.13184692836654
202,508.1899641577061,-102565552.22104864,220.70468486100435,163.52880964572964
203,510.68100358422936,-102566103.01199512,221.43551004305482,155.32490987422005
204,513.1720430107526,-102566655.43022053,222.2199966572225,169.08036821380637
205,515.663082437276,-102567210.12954119,223.07700968906283,168.97514886470563
206,518.1541218637992,-102567766.81747311,223.85255005210638,161.13881056250798
207,520.6451612903226,-102568325.380597,224.62636774033308,163.96997681345545
208,523.1362007168459,-102568885.92374966,225.42158672958612,167.3997528089904
209,525.6272401433691,-102569448.44871728,226.22059648483992,167.49475055233833
210,528.1182795698925,-102570012.97259952,227.009160567075,168.8362000075103
211,530.6093189964157,-102570579.4262556,227.81333677470684,169.24510617351032
212,533.100358422939,-102571147.9566071,228.59826282039285,162.63589712339535
213,535.5913978494623,-102571718.32082665,229.33324733376503,162.33869257532092
214,538.0824372759856,-102572290.51292895,230.10833966359496,174.1816547116313
215,540.573476702509,-102572864.7387196,230.94598671793938,175.05544296400188
216,543.0645161290322,-102573441.10404557,231.72170039638877,167.36512392641603
217,545.5555555555555,-102574019.19450292,232.48139590024948,164.75374175656367
218,548.0465949820788,-102574599.34469181,233.2262513525784,167.37185513666563
219,550.5376344086021,-102575181.14607775,234.00290846452117,174.71017192593308
220,553.0286738351255,-102575765.16563362,234.8072874136269,172.93652589877541
221,555.5197132616487,-102576350.97449893,235.5608446970582,169.43098756807976
222,558.010752688172,-102576938.74833658,236.3267988190055,171.93371547467584
223,560.5017921146953,-102577528.37324573,237.0959178544581,173.13863626010146
224,562.9928315412186,-102578119.97889505,237.8657597117126,173.42636567995953
225,565.483870967742,-102578713.43921706,238.63061559945345,172.45887124391027
226,567.9749103942652,-102579308.85543874,239.38517297804356,167.11310200223568
227,570.4659498207885,-102579906.07502508,240.096473749727,173.521982681618
228,572.9569892473118,-102580505.03500332,240.9006012007594,179.79114169424153
229,575.4480286738351,-102581106.26081601,241.65982608124614,176.98862902297083
230,577.9390681003584,-102581709.00331247,242.43292256072164,174.873115031058
231,580.4301075268817,-102582314.08075279,243.16730618849397,164.77298679911155
232,582.921146953405,-102582920.48200636,243.84723929315805,175.27740087425434
233,585.4121863799282,-102583528.94692706,244.66535757482052,183.19893139156537
234,587.9032258064516,-102584139.42411038,245.4063314050436,174.7248210733834
235,590.3942652329749,-102584751.58062115,246.14603126049042,174.84503068554855
236,592.8853046594982,-102585365.7430475,246.88177210837603,175.43665484706983
237,595.3763440860215,-102585981.56507716,247.62024430185556,178.6518655910881
238,597.8673835125447,-102586599.40663025,248.37672179937363,183.78081683532187
239,600.3584229390681,-102587218.9974904,249.15170520171523,178.4106771387942
240,602.8494623655913,-102587840.70007196,249.8572641350329,165.3920163578744
241,605.3405017921147,-102588463.80608231,250.51854073628783,177.78665726802905
242,607.831541218638,-102589088.80319606,251.320485483855,187.09886336482987
243,610.3225806451612,-102589715.9045584,252.05209276080132,174.9095511649852
244,612.8136200716846,-102590344.54659724,252.74827662855387,178.43568172177925
245,615.3046594982078,-102590975.11640255,253.50274693593383,183.0969653981626
246,617.7956989247311,-102591607.51727192,254.23079996928573,184.59046408129296
247,620.2867383512545,-102592241.71429487,254.99133652821183,179.77335054641924
248,622.7777777777777,-102592877.90421738,255.6747209057212,169.97854739772438
249,625.2688172043011,-102593515.50591512,256.35112577676773,184.79099407403493
250,627.7598566308243,-102594155.0657401,257.14711690321565,188.07155822416826
251,630.2508960573476,-102594796.63312835,257.84371457993984,178.22340278016605
252,632.741935483871,-102595439.66345789,258.55595749616623,180.30608287613794
253,635.2329749103942,-102596084.77929653,259.263407304883,186.28065394655675
254,637.7240143369175,-102596731.33419678,260.0169410146773,184.58560099275803
255,640.2150537634408,-102597380.20419982,260.70544178783894,174.97521178349766
256,642.7060931899641,-102598030.18926516,261.3785776980221,182.56752732965052
257,645.1971326164875,-102598682.4128844,262.1206544749439,193.83517342253435
258,647.6881720430107,-102599336.0950348,262.87533282861114,190.32577538902243
259,650.179211469534,-102599992.07852104,263.5846583917737,174.16836823704438
260,652.6702508960573,-102600649.29458737,264.2099195532501,179.6974823987889
261,655.1612903225806,-102601308.393174,264.9563572332263,189.02530479031873
262,657.652329749104,-102601969.32805173,265.6473350226879,185.30635944146422
263,660.1433691756272,-102602631.8691442,266.3601550348103,183.25023497191663
264,662.6344086021505,-102603296.35534741,267.03031811863184,188.82556115845927
265,665.1254480286738,-102603962.23524524,267.779857698828,193.28430907718422
266,667.6164874551971,-102604630.4557137,268.4781016483903,171.68462976408082
267,670.1075268817204,-102605299.81431797,269.06105188652873,183.89368704839882
268,672.5985663082437,-102605970.9390905,269.8453043922782,207.9126865516439
269,675.089605734767,-102606644.20490256,270.6011048257351,184.25296957583998
270,677.5806451612902,-102607319.09513249,271.20506880804896,180.3800112374015
271,680.0716845878136,-102607995.36994068,271.9273933582008,196.46498620804505
272,682.5627240143369,-102608673.8588485,272.644334807992,181.52331694639435
273,685.0537634408602,-102609353.70551556,273.2523462846875,184.25661296626052
274,687.5448028673835,-102610035.22358446,273.984347846359,200.2590637558874
275,690.0358422939067,-102610718.71714106,274.7034610956907,189.11984999928816
276,692.5268817204301,-102611403.81788881,275.34979866445065,181.16051635231273
277,695.0179211469533,-102612090.5315502,276.0067404359579,187.18532852625611
278,697.5089605734767,-102612778.9052336,276.6915943771601,194.3480231051383
279,700.0,-102613469.03089136,277.39490493386984,200.22854709310707
