,T [K],G [J/mol],S [J/mol/K],Cp [J/mol/K]
104,525.0,-102569306.49992953,226.03256268799305,166.91188978403838
105,530.0,-102570440.65638521,227.6036521181464,166.39139652699262
106,535.0,-102571582.53645071,229.1720229998231,168.42714635729882
107,540.0,-102572732.37661521,230.75182307809592,169.8069786965844
108,545.0,-102573890.0546815,232.31659667938948,169.8178854897612
109,550.0,-102575055.542582,233.8677475824952,168.90822134166925
110,555.0,-102576228.73215732,235.387655249238,170.05728702396217
111,560.0,-102577409.4191345,236.93184284418822,173.54341984987354
112,565.0,-102578598.05058576,238.48664488941432,174.8627376370132
113,570.0,-102579794.28558339,240.02675855457784,172.7997345015397
114,575.0,-102580998.3181713,241.51821917891502,171.59320468083024
115,580.0,-102582209.46777518,243.01098820120097,173.97182834148407
116,585.0,-102583428.42805332,244.51773346066474,175.68443476706642
117,590.0,-102584654.64510979,246.01414093226194,176.46301099509034
118,595.0,-102585888.56946264,247.50863195210695,177.91041843071648
119,600.0,-102587129.73142931,249.0042319983244,178.55463480949368
120,605.0,-102588378.61178263,250.48454253226518,176.8775438867499
121,610.0,-102589634.57685463,251.92782776504754,178.42838746160234
122,615.0,-102590897.89006028,253.4095980644226,182.02432237565517
123,620.0,-102592168.67283528,254.88757284432648,180.15160156786442
124,625.0,-102593446.76578872,256.31526905745267,179.3859474360957
125,630.0,-102594731.82552585,257.757748003304,181.55374746322775
126,635.0,-102596024.34326875,259.197074572742,182.8494350619607
127,640.0,-102597323.79627158,260.6372666656971,184.82133369445728
128,645.0,-102598630.71593541,262.0849079117179,185.06605905890538
129,650.0,-102599944.6453507,263.50650789141656,183.41245279461222
130,655.0,-102601265.78101432,264.9066379547119,182.98855719119388
131,660.0,-102602593.71173024,266.30022632181647,184.69243411123603
132,665.0,-102603928.78327754,267.70500816851853,189.24373472258222
133,670.0,-102605270.76181193,269.1459967687726,189.27995714545253
134,675.0,-102606620.24324523,270.5300821557641,182.02328728884382
135,680.0,-102607976.06263348,271.84263806194065,184.8341462135338
136,685.0,-102609338.66962585,273.24823136478665,193.6077489689008
137,690.0,-102610708.54494713,274.669028557837,193.22505099177204
138,695.0,-102612085.35991143,276.0485944226384,191.1784447580576
139,700.0,-102613469.03089136,277.4197975471616,191.3830456137518
